app_id,title,date_release,win,mac,linux,rating,positive_ratio,user_reviews,price_final,steam_deck
13500,Prince of Persia: Warrior Within™,21/11/2008,TRUE,FALSE,FALSE,Very Positive,84,2199,9.99,TRUE
282900,Hyperdimension Neptunia Re;Birth1,29/01/2015,TRUE,FALSE,FALSE,Very Positive,94,9686,14.99,TRUE
367120,Seduce Me the Otome,04/06/2015,TRUE,TRUE,TRUE,Very Positive,86,2149,0,TRUE
1457510,The Legend of Heroes: Sen no Kiseki IV -THE END OF SAGA-,22/12/2021,TRUE,FALSE,FALSE,Very Positive,88,161,44.99,TRUE
1932160,Neptunia: Sisters VS Sisters,24/01/2023,TRUE,FALSE,FALSE,Very Positive,89,379,49.99,TRUE
288260,Conflicks - Revolutionary Space Battles,05/11/2015,TRUE,TRUE,TRUE,Very Positive,82,74,6.99,TRUE
517780,Ogre,05/10/2017,TRUE,TRUE,FALSE,Mixed,67,176,24.99,TRUE
1490980,Mirror Layers,29/10/2021,TRUE,FALSE,FALSE,Very Positive,97,69,9.99,TRUE
1767220,The Kids We Were,12/01/2022,TRUE,FALSE,FALSE,Very Positive,92,68,15.99,TRUE
2220810,Spire of Glory,03/12/2022,TRUE,TRUE,FALSE,Mostly Positive,75,83,6.99,TRUE
394160,ARCADE GAME SERIES: PAC-MAN,19/04/2016,TRUE,FALSE,FALSE,Very Positive,89,616,3.99,TRUE
1286880,Ship Graveyard Simulator,10/11/2021,TRUE,FALSE,FALSE,Mostly Positive,70,956,14.99,TRUE
1812420,An Elder Scrolls Legend: Battlespire,26/04/2022,TRUE,FALSE,FALSE,Mostly Positive,79,48,5.99,TRUE
692100,Infliction,17/10/2018,TRUE,FALSE,FALSE,Very Positive,83,544,19.99,TRUE
888851,NTBSS: Master Character Training Pack - Hiruzen Sarutobi,18/10/2018,TRUE,FALSE,FALSE,Mixed,57,26,1.99,TRUE
1701720,Rust Soundtrack,03/03/2022,FALSE,FALSE,FALSE,Very Positive,85,75,9.99,TRUE
32460,Monkey Island™ 2 Special Edition: LeChuck’s Revenge™,07/07/2010,TRUE,FALSE,FALSE,Overwhelmingly Positive,95,2068,3.49,TRUE
1087425,NTBSS: Master Character Training Pack - Ino Yamanaka,19/12/2019,TRUE,FALSE,FALSE,Mostly Positive,72,18,1.99,TRUE
537340,Guts and Glory,19/07/2018,TRUE,TRUE,TRUE,Very Positive,81,1571,14.99,TRUE
428140,TowerClimb - Extended Original Soundtrack,20/01/2016,TRUE,TRUE,TRUE,Positive,100,10,8.99,TRUE
737050,Open Sorcery: Sea++,25/01/2021,TRUE,TRUE,TRUE,Positive,95,40,14.99,TRUE
2192840,Terfenstein 3D,13/01/2023,TRUE,FALSE,FALSE,Mixed,64,14,4.99,TRUE
1202170,Barbarous - Tavern Of Emyr,27/02/2020,TRUE,TRUE,FALSE,Positive,93,33,9.99,TRUE
1075080,Falcon Age,08/10/2020,TRUE,FALSE,FALSE,Mostly Positive,77,153,19.99,TRUE
1496250,Mary Skelter 2,13/01/2022,TRUE,FALSE,FALSE,Very Positive,87,74,34.99,TRUE
352840,One Way Heroics Plus,17/08/2015,TRUE,FALSE,FALSE,Very Positive,97,132,6.49,TRUE
891370,The Last Hex,13/12/2021,TRUE,FALSE,FALSE,Mostly Positive,79,172,10.99,TRUE
1951320,Midnight Ghost Hunt Soundtrack,31/03/2022,FALSE,FALSE,FALSE,Positive,100,13,2.49,TRUE
495110,Enigmatis 3: The Shadow of Karkhala,11/08/2016,TRUE,TRUE,TRUE,Very Positive,93,609,9.99,TRUE
997360,Super Animal Royale Soundtrack,12/12/2018,FALSE,FALSE,FALSE,Positive,100,38,4.99,TRUE
1371407,Monster Hunter World: Iceborne - Pendant: Heavenly Hog,30/09/2020,TRUE,FALSE,FALSE,Positive,100,23,0.99,TRUE
531640,Eternal Card Game,15/11/2018,TRUE,TRUE,FALSE,Mostly Positive,77,6553,0,TRUE
609920,Hotshot Racing,10/09/2020,TRUE,FALSE,FALSE,Mostly Positive,76,778,19.99,TRUE
1668070,Anarchy: Supporter Pack DLC,26/08/2021,TRUE,FALSE,FALSE,Positive,100,13,15.99,TRUE
2000040,Space Menace,11/11/2022,TRUE,FALSE,FALSE,Mixed,66,12,11.99,TRUE
521670,Romance of the Three Kingdoms,13/12/2016,TRUE,FALSE,FALSE,Positive,83,18,12.99,TRUE
1125020,Frostpunk: The Rifts,27/08/2019,TRUE,TRUE,FALSE,Mixed,56,368,4.99,TRUE
599080,The Blackout Club,29/07/2019,TRUE,FALSE,FALSE,Very Positive,80,2047,29.99,TRUE
470310,TROUBLESHOOTER: Abandoned Children,23/04/2020,TRUE,FALSE,FALSE,Very Positive,94,7027,24.99,TRUE
988470,Jurassic World Evolution: Carnivore Dinosaur Pack,17/04/2019,TRUE,FALSE,FALSE,Very Positive,86,121,4.99,TRUE
1371630,Incremental Adventures,11/08/2020,TRUE,TRUE,TRUE,Very Positive,80,635,0,TRUE
789740,Maidens of a Hollow Dream,30/03/2018,TRUE,FALSE,FALSE,Positive,85,41,9.99,TRUE
1731081,Resident Evil Village - Street Wolf Outfit,15/12/2022,TRUE,FALSE,FALSE,Positive,84,46,2.99,TRUE
1254320,Surviving the Abyss,17/01/2023,TRUE,FALSE,FALSE,Mostly Positive,74,435,19.99,TRUE
275180,Costume Quest 2,07/10/2014,TRUE,TRUE,TRUE,Very Positive,87,617,14.99,TRUE
767560,War Robots,04/04/2018,TRUE,FALSE,FALSE,Mixed,62,18774,0,TRUE
1172470,Apex Legends™,04/11/2020,TRUE,FALSE,FALSE,Very Positive,80,713182,0,TRUE
